Vessel Name,-,Bang Chui Dao
Year,-,1995
Tags,-,-
LOA,m,134.8
LBP,m,125
B,m,23.4
T,m,5.4
D,m,8.6
D_Upperdeck,m,14
DWT,t,3250
GT,t,15560
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,20
MCR,%,85
P_I,kW,11520
N_MainEngines,-,2
ME,-, Stork-Wartsila 9SW38
Fuel consumption,t/day,43
Fuel auxilaries,t/day,-
P_Aux,kW,4640
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4
Prop_RPM,rpm,165
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,1
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,1
N_PasDecks,-,3
A_PasRelative,-,2
N_Pas,-,938
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,169
N_Crew_Total,-,89
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,830
L_LaneTrailer(or),-,0
L_LaneCar,-,100
L_LaneCar(or),-,1160
L_TrainTrack,-,-
N_Cars,-,22
N_Cars(or),-,226
L_Car,m,-
N_Trailers,-,80
N_Trailers(or),-,0
L_Trailer,m,-
No. Bowtrusters,-,1
P_Bowthruster,kW (each),900
Classification,-,CCS
HFO Tanks,m3,463
LNG Tanks,m3,-
DO Tanks,m3,115
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,-
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
