Vessel Name,-,European Ambassador
Year,-,2001
Tags,-,-
LOA,m,169.8
LBP,m,161.6
B,m,24
T,m,6
D,m,9.5
D_Upperdeck,m,15.7
DWT,t,4884
GT,t,24206
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,25.7
MCR,%,90
P_I,kW,39600
N_MainEngines,-,2
ME,-, Wartsila 12V38 //  18V38
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,7400
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.75
Prop_RPM,rpm,170
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,2
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,2
A_PasRelative,-,1.4
N_Pas,-,405
L_Voyage,h,-
N_Berths,-,222
N_Cabins,-,-
N_Crew_Total,-,45
N_Officers,-,17
L_Lane,-,-
L_LaneTrailer,-,1660
L_LaneTrailer(or),-,0
L_LaneCar,-,290
L_LaneCar(or),-,1950
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1260
Classification,-,LR
HFO Tanks,m3,1071
LNG Tanks,m3,-
DO Tanks,m3,124
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2669
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
