Vessel Name,-,Nils Holgersson
Year,-,2001
Tags,-,-
LOA,m,190.75
LBP,m,175
B,m,29.5
T,m,6.2
D,m,9.2
D_Upperdeck,m,14.65
DWT,t,7200
GT,t,36648
Displacement,t,-
C_B,-,-
HTS,%,41
V_Service,knts,22
MCR,%,-
P_I,kW,29880
N_MainEngines,-,2
ME,-, Mak 8M43 //  7M43 //  6M32
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,n
Azi?,y/n,y
D_Prop,m,4.5
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,2
N_Insideramps,-,2
N_Lifts,-,1
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,2.3
N_Pas,-,744
L_Voyage,h,-
N_Berths,-,640
N_Cabins,-,220
N_Crew_Total,-,56
N_Officers,-,10
L_Lane,-,-
L_LaneTrailer,-,1450
L_LaneTrailer(or),-,0
L_LaneCar,-,1163
L_LaneCar(or),-,2613
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),2400
Classification,-,GL
HFO Tanks,m3,946
LNG Tanks,m3,-
DO Tanks,m3,70
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2644
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
