Vessel Name,-,Viking Grace
Year,-,2013
Tags,-,-
LOA,m,218.5
LBP,m,200
B,m,31.8
T,m,6.8
D,m,9.8
D_Upperdeck,m,-
DWT,t,-
GT,t,57565
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,22
MCR,%,-
P_I,kW,29600
N_MainEngines,-,4
ME,-,Wartsila 8L50DF
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,n
Azi?,y/n,n
D_Prop,m,5.2
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,-
N_Lifts,-,1
N_VehDecks,-,1
N_SemiDecks,-,1
N_HoistDecks,-,1
N_PasDecks,-,6
A_PasRelative,-,4.2
N_Pas,-,2800
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,880
N_Crew_Total,-,-
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,0
L_LaneTrailer(or),-,-
L_LaneCar,-,1275
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),2300
Classification,-,LR
HFO Tanks,m3,470
LNG Tanks,m3,400
DO Tanks,m3,178
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,1450
Heeling Tanks,m3,670
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
